Feature1,Feature2,Cluster
-8.49838231078064,7.0128369470538106,3
-5.989112744740102,-6.520958496788157,2
-6.209634896125204,-6.788903123581052,2
4.088645756779808,0.953356440582982,1
4.328369214591776,0.16939814019900457,1
-6.811211441274769,-6.557798858640038,2
5.096116257435257,2.70587257828132,1
-5.780033981508293,-6.464323422198356,2
-6.610930230273676,-5.2431410773073335,2
6.087689596038129,0.9928468787560487,1
5.045002030718344,1.4789173245937712,1
-6.556898933732402,7.250729938921158,3
-2.2703259883645863,8.294025875607767,0
-5.777647263948495,-8.76471031762376,2
-6.144298505076186,-8.144208269084334,2
-5.42390995117625,-6.7100492969080605,2
-3.4491015738562347,8.62781230875151,0
-1.8526807656487048,8.771654945277648,0
-1.3390539429514488,8.837817270395755,0
5.032191684745096,1.7102490493700948,1
4.598256971363964,2.254227362984557,1
-8.353851648232078,7.294488187829604,3
-9.2079688976589,8.25911555422191,3
-11.384553635446323,6.594136530985384,3
3.892110204518384,1.3065971409484263,1
4.706748730974535,3.28619950610587,1
-3.348868232643853,9.271062021079388,0
-3.3215040234199007,9.748297674807363,0
-6.663754209767096,-5.209706849662427,2
4.960339155271212,3.0407266386888567,1
-6.3553013874556505,-5.451334063532337,2
-8.585799991241483,-5.078509210929362,2
-6.909659541645443,-5.898790034235602,2
-1.882867744312473,9.370667736078145,0
-3.8903899159595134,9.465123750213127,0
-8.486058238036055,5.695624749950618,3
-7.576255330916937,-6.173815507971215,2
3.9736394041962635,4.2305581672694395,1
-8.224884637206033,8.971913169694252,3
-8.786004820989065,9.357584164015606,3
6.898308231998142,3.5876737393267053,1
-7.6613287954886085,-7.460772594141132,2
4.054751367341109,1.454099858557187,1
-9.24005815516386,6.839144759608307,3
6.858626150162515,3.325047719398041,1
-5.665115740215569,5.5199585214245195,3
-3.2899687059989424,8.429735667680687,0
4.759077602743172,2.874834231986879,1
-11.088534720210903,7.461554210475604,3
4.5556799824777245,-0.019983436278457667,1
-7.68251447754317,-5.632223968400655,2
-1.4296777725328493,9.383045553250252,0
5.1297821430854675,-0.06993064114467629,1
-9.765780958024342,7.811985660048145,3
-1.6552597693460824,7.664715617992878,0
-11.401136813410446,11.088821155890695,3
-3.783962079524076,9.58259704496054,0
-1.480006075210327,8.82235989224221,0
-3.667105775748875,9.837547880196448,0
-4.872540326946027,-6.377286782036692,2
-7.601268363892727,-6.496371272304902,2
-3.3033413807748158,10.037206129953791,0
-6.912392638563189,-8.000031144163781,2
-8.051246824800296,7.557206349161233,3
3.7844638970155042,2.100885957171008,1
0.06353528413764042,9.774988954979936,0
-7.94461780451379,-7.405059553664039,2
-7.459450945910519,-4.991325477327907,2
4.104458716370366,-0.2942791931939053,1
-3.1449098675731966,9.630207047934348,0
-8.13429519486568,6.753638527551674,3
-3.0492761888278426,9.76170604701532,0
3.9045324076468377,1.507927812017551,1
-6.965548702448147,-6.924776277087757,2
5.821065714400001,1.7163830708701213,1
-9.417619983254449,6.1795285855882485,3
